internal_id,testrail_case_id,title,section,refs
INV-MAST-01,,Masthead shows the shop location's full identity details,Masthead and Letterhead,SV-9140 (S1-R1)
INV-MAST-02,,Shop logo shows when set; nothing (no placeholder) shows when unset,Masthead and Letterhead,SV-9140 (S1-R2)
INV-MAST-03,,Document label names the type before the number on each document,Masthead and Letterhead,SV-9140 (S1-R3; S1-R4)
INV-MAST-04,,No status pill appears in the masthead on any document,Masthead and Letterhead,SV-9140 (S1-R5)
INV-MAST-05,,No money figure in the masthead; headline figure is the boxed total,Masthead and Letterhead,SV-9140 (S1-R6)
INV-MAST-06,,Masthead date labels read correctly for each document type,Masthead and Letterhead,SV-9140 (S1-R7; G-R1)
INV-MAST-07,,Masthead identity fields each hide when empty,Masthead and Letterhead,SV-9140 (S1-N1)
INV-ADDR-01,,Bill To block shows the customer name and address,Addresses,SV-9141 (S2-R1)
INV-ADDR-02,,Remit Payment To shows when a payee is configured (both mechanisms),Addresses,SV-9141 (S2-R2)
INV-ADDR-03,,Bill To spans full width when Remit Payment To is absent,Addresses,SV-9141 (S2-R3)
INV-ADDR-04,,Remit Payment To is hidden when no payee is configured,Addresses,SV-9141 (S2-N2; S2-R2)
INV-ADDR-05,,Bill To address fields hide when empty; the name line always shows,Addresses,SV-9141 (S2-N1)
INV-OREF-01,,Order reference fields show in the fixed order with no label punctuation,Order Reference Fields,SV-9142 (S3-R1)
INV-OREF-02,,"Terms field always shows, even when no terms are set",Order Reference Fields,SV-9142 (S3-R2; S3-N4)
INV-OREF-03,,Authorizer field shows the selected authorizer's full name,Order Reference Fields,SV-9142 (S3-R3)
INV-OREF-04,,Approval Code field shows the integrated-billing approval code,Order Reference Fields,SV-9142 (S3-R4)
INV-OREF-05,,Work Order field hides when it equals the document number's trailing digits,Order Reference Fields,SV-9142 (S3-N1)
INV-OREF-06,,"Customer PO, Authorizer and Approval Code each hide when empty",Order Reference Fields,SV-9142 (S3-N2; S3-N3; S3-N5)
INV-AUTH-01,,Authorizer is selected in the work order customer contact card,Authorizer Entry (Work Order),SV-9142 (S3-R5)
INV-AUTH-02,,Authorizer is optional and can be cleared with 'No authorizer',Authorizer Entry (Work Order),SV-9142 (S3-R6)
INV-AUTH-03,,Authorizer's phone shows below the name when the contact has one,Authorizer Entry (Work Order),SV-9142 (S3-R7)
INV-AUTH-04,,Authorizer is locked once the work order is invoiced,Authorizer Entry (Work Order),SV-9142 (S3-R8)
INV-AUTH-05,,A new 'Approves Work' contact becomes selectable immediately,Authorizer Entry (Work Order),SV-9142 (S3-R9)
INV-ASST-01,,Asset section shows Asset name and VIN / Serial when present,Asset Section,SV-9143 (S4-R1)
INV-ASST-02,,"Asset section can show Unit, Plate, Mileage and Eng Hrs",Asset Section,SV-9143 (S4-R2)
INV-ASST-03,,"Unit, Plate, Mileage and Eng Hrs each hide when empty",Asset Section,SV-9143 (S4-N1)
INV-ASST-04,,VIN / Serial hides when the asset has neither; Asset name still shows,Asset Section,SV-9143 (S4-N2)
INV-ASST-05,,Asset section shows whenever the work order has an asset (parts sales too),Asset Section,SV-9143 (S4-N3; Story 4 prerequisite)
INV-WORK-01,,Work heading is 'Work Summary' on Estimate and 'Work Performed' on Invoice,Work Section,SV-9144 (S5-R1)
INV-WORK-02,,Work line numbers are sequential and zero-padded to two digits,Work Section,SV-9144 (S5-R2)
INV-WORK-03,,"Each work line shows name, and description and scope-of-work note when present",Work Section,SV-9144 (S5-R3; S5-R4; S5-R5)
INV-WORK-04,,Labor and Part entries are labeled exactly 'Labor' and 'Part',Work Section,SV-9144 (S5-R6)
INV-WORK-05,,Invoice Details settings show or hide the per-entry figures,Work Section,SV-9144 (S5-R7)
INV-WORK-06,,Line-level fee shows as a plain amount; discount shows in parentheses,Work Section,SV-9144 (S5-R8)
INV-WORK-07,,"Line footer shows Labor, Parts and Line total with the divider rule",Work Section,SV-9144 (S5-R7; S5-R9; S5-R10)
INV-WORK-08,,Empty work section shows heading; Summary divider still precedes summary,Work Section,SV-9144 (S5-N1)
INV-DECL-01,,Declined Work shows in its own section with names and descriptions only,Declined Work,SV-9145 (S6-R1; S6-R2)
INV-DECL-02,,"Declined lines show no prices, no line numbers, and no status pill",Declined Work,SV-9145 (S6-R3; S6-R4; S6-R5)
INV-DECL-03,,Declined Work section hidden when nothing declined or option off,Declined Work,SV-9145 (S6-N1)
INV-FSUM-01,,'Summary' divider precedes the financial summary,Financial Summary,SV-9146 (S7-R1)
INV-FSUM-02,,"Summary shows gross Labor and Parts rows, and Shop supplies when charged",Financial Summary,SV-9146 (S7-R2; S7-R6)
INV-FSUM-03,,Shop supplies shows its percentage when the location setting is enabled,Financial Summary,SV-9146 (S7-R3)
INV-FSUM-04,,Adjustments group shows rollup Labor/Parts then each work-order-wide row,Financial Summary,SV-9146 (S7-R4; S7-R5)
INV-FSUM-05,,"Summary shows Subtotal, one row per tax, and the grand Total",Financial Summary,SV-9146 (S7-R7; S7-R8; S7-R9; S7-R10)
INV-FSUM-06,,Adjustments heading and tax rows hide when nothing applies,Financial Summary,SV-9146 (S7-N1; S7-N2)
INV-PAID-01,,Payments heading and each applied payment row show correctly,"Paid Banner, Payments and Balance",SV-9147 (S8-R1; S8-R2)
INV-PAID-02,,Payment method name resolves per rule (SHOPPAY shows 'Online'),"Paid Banner, Payments and Balance",SV-9147 (S8-R3)
INV-PAID-03,,Deposit and applied customer-account credit show as labeled payment rows,"Paid Banner, Payments and Balance",SV-9147 (S8-R4)
INV-PAID-04,,Excess payment sub-line reads exactly per the credited/ to-be-credited rule,"Paid Banner, Payments and Balance",SV-9147 (S8-R5)
INV-PAID-05,,"Balance equals Total minus all applied amounts, floored at $0.00","Paid Banner, Payments and Balance",SV-9147 (S8-R6)
INV-PAID-06,,"Paid banner appears only on portal-generated Invoice PDFs, before all content","Paid Banner, Payments and Balance",SV-9147 (S8-R8)
INV-PAID-07,,Each banner payment shows its labeled fields and conditional fees/marker,"Paid Banner, Payments and Balance",SV-9147 (S8-R9; G-R1)
INV-PAID-08,,$0.00 payment rows hidden; no-payments state shows heading with Balance = Total,"Paid Banner, Payments and Balance",SV-9147 (S8-R7; S8-N1)
INV-PAID-09,,No paid banner when the invoice has no portal-processed payment,"Paid Banner, Payments and Balance",SV-9147 (S8-N2)
INV-FOOT-01,,"Shop disclaimer shows with no heading, identical on every document","Disclaimer, Signature and Footer",SV-9148 (S9-R1)
INV-FOOT-02,,Signature area has exactly three labeled lines and no acknowledgment sentence,"Disclaimer, Signature and Footer",SV-9148 (S9-R2; S9-R3)
INV-FOOT-03,,"Footer shows the shop tax identifier exactly, with no added label","Disclaimer, Signature and Footer",SV-9148 (S9-R4)
INV-FOOT-04,,Disclaimer and footer tax identifier hide when not configured,"Disclaimer, Signature and Footer",SV-9148 (S9-N1; S9-N2)
INV-EIS-01,,Estimate and Invoice differ only as Section 3 specifies,Estimate and Invoice Specifics,SV-9149 (S10-R1)
INV-EIS-02,,"Estimate shows 'Work Summary', 'Estimated Total', and 'Estimate date'",Estimate and Invoice Specifics,SV-9149 (S10-R2)
INV-EIS-03,,"Invoice shows 'Work Performed', 'Balance', 'Invoice date' and 'Due date'",Estimate and Invoice Specifics,SV-9149 (S10-R3)
INV-EIS-04,,Fully paid Invoice stays an Invoice; 'Paid date' replaces 'Due date',Estimate and Invoice Specifics,SV-9149 (S10-R4)
INV-EIS-05,,Invoice with no due date shows no Due date line; paid swap still applies,Estimate and Invoice Specifics,SV-9149 (S10-N1)
INV-CRED-01,,"Credit Invoice masthead shows 'Credit: {number}' and 'Issue date', no money",Credit Invoice,SV-9150 (S11-R1; S1-R6)
INV-CRED-02,,Customer address block is labeled 'Credit To' on the Credit Invoice,Credit Invoice,SV-9150 (S11-R2; S2-R1; S2-R3)
INV-CRED-03,,"Status table shows Credit Number, Status, Invoice Number correctly",Credit Invoice,SV-9150 (S11-R3)
INV-CRED-04,,Credited items table shows returned parts and money-only lines correctly,Credit Invoice,SV-9150 (S11-R4; S11-R5)
INV-CRED-05,,Restocking fee reduces a returned-part credit total as specified,Credit Invoice,SV-9150 (S11-R5)
INV-CRED-06,,Totals block rows and Balance follow the credit's status,Credit Invoice,SV-9150 (S11-R6; S11-R6a)
INV-CRED-07,,Credit Invoice shows the disclaimer and standard signature area,Credit Invoice,SV-9150 (S11-R7; S9-R2)
INV-VIS-01,,Document layout matches the Design Document structure,Document Visual Standard,SV-9151 (S12-R1)
INV-VIS-02,,Only the closed palette colours appear on any document,Document Visual Standard,SV-9151 (S12-R2)
INV-VIS-03,,Accent colour appears only on line numbers and the footer 'ShopView',Document Visual Standard,SV-9151 (S12-R3)
INV-VIS-04,,Typography uses Inter with the specified weights,Document Visual Standard,SV-9151 (S12-R4)
INV-VIS-05,,Print/PDF ink floor keeps text and rules dark enough,Document Visual Standard,SV-9151 (S12-R5)
INV-VIS-06,,Every document is fully legible in grayscale,Document Visual Standard,SV-9151 (S12-R6)
INV-VIS-07,,Prototype chrome does not appear on any real document,Document Visual Standard,SV-9151 (S12-R7; S12-N1)
INV-VIS-08,,Work-section rules and dividers follow the specified treatment,Document Visual Standard,SV-9151 (S12-R8)
INV-VIS-09,,Section labels use the three-tier hierarchy with exact sizes and inks,Document Visual Standard,SV-9151 (S12-R9)
INV-PART-01,,Parts Sale documents behave as the Estimate/Invoice except as stated,Parts Sale Estimate and Invoice,SV-9195 (S13-R1)
INV-PART-02,,"Parts Sale body is a single flat 'Parts' section, no jobs",Parts Sale Estimate and Invoice,SV-9195 (S13-R2)
INV-PART-03,,Parts Sale line-level fees/discounts render as on the Invoice,Parts Sale Estimate and Invoice,SV-9195 (S13-R3; S12-R8)
INV-PART-04,,Parts Sale document number keeps parts-sale numbering,Parts Sale Estimate and Invoice,SV-9195 (S13-R4)
INV-PART-05,,Parts Sale reference fields drop Work Order and Approval Code,Parts Sale Estimate and Invoice,SV-9195 (S13-R5)
INV-PART-06,,Parts sale receives the Authorizer treatment (net-new),Parts Sale Estimate and Invoice,SV-9195 (S13-R6)
INV-PART-07,,Parts Sale financial summary shows no Labor and no Shop supplies row,Parts Sale Estimate and Invoice,SV-9195 (S13-R7)
INV-PART-08,,Batch and imported invoices are out of scope (kept on current templates),Parts Sale Estimate and Invoice,SV-9195 (S13-N1); SV-9193 (deferred)
