Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,,
Add Part button appears in the Parts section of each work order line,Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"A work order is open with status Estimate, Approved, In Progress, or Review.
You have the 'Work Order Line - Create and Edit' setting enabled.
The work order has at least one work order line.","Open the work order and look at each work order line's Parts section.
Look at a work order line that has no parts on it yet.","1. Each work order line displays an “Add Part” button in its Parts section.
2. The “Add Part” button is shown even on a work order line that has no parts yet.

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-R1, S1-E1, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-R1; S1-E1),,
Add Part opens an inline row above existing parts with cursor in description,Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"A work order is open with status Estimate, Approved, In Progress, or Review.
You have the 'Work Order Line - Create and Edit' setting enabled.",Select “Add Part” on a work order line.,"1. An editable inline row opens directly below the Add Part control and above the line's existing parts.
2. The cursor is placed in the description field automatically.

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-R2, S1-R3, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-R2; S1-R3),,
Inline add row content follows the user's view mode,Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"A work order is open with status Estimate, Approved, In Progress, or Review.
You have the 'Work Order Line - Create and Edit' setting enabled.","As a Tech View user, select “Add Part” and note the fields shown.
As a Full View user, select “Add Part” and note the fields shown.","1. For a Tech View user the inline row follows Story 2 (three fields).
2. For a Full View user the inline row follows Story 4 (six fields).

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-R4, S1-R5, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-R4; S1-R5),,
Edit control is revealed on hover and on keyboard focus of a part line,Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"A work order is open with status Estimate, Approved, In Progress, or Review.
You have the 'Work Order Line - Create and Edit' setting enabled.
The work order line already has at least one part on it.","Hover the mouse over an existing part line.
Move keyboard focus onto the part line (Tab to it) without using the mouse.","1. An Edit control is displayed on the part line when you hover over it.
2. The Edit control is also revealed when the part line receives keyboard focus, so it can be reached without a mouse.

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-R6, S1-R7, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-R6; S1-R7),,
Edit routing follows the user's view mode,Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"A work order is open with status Estimate, Approved, In Progress, or Review.
You have the 'Work Order Line - Create and Edit' setting enabled.
The work order line already has at least one part on it.","As a Tech View user, select Edit on an existing part line.
As a Full View user, select Edit on an existing part line.","1. For a Tech View user, selecting Edit follows Story 3 (inline edit row).
2. For a Full View user, selecting Edit follows Story 5 (part details modal).

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-R8, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-R8),,
"Add Part button hidden on Complete, Invoiced, Paid, Declined or Imported",Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"You have the 'Work Order Line - Create and Edit' setting enabled.
You can view a work order whose status is Complete, Invoiced, Paid, Declined, or Imported.",Open a work order in each of those statuses and look at the Parts section of its lines.,"1. The “Add Part” button is not displayed on any work order line when the status is Complete, Invoiced, Paid, Declined, or Imported.

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-N1, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-N1),,
"Edit control hidden on Complete, Invoiced, Paid, Declined or Imported",Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"You have the 'Work Order Line - Create and Edit' setting enabled.
You can view a work order whose status is Complete, Invoiced, Paid, Declined, or Imported and that has parts.",Open a work order in each of those statuses and hover/focus its existing part lines.,"1. The Edit control is not displayed on part lines when the status is Complete, Invoiced, Paid, Declined, or Imported.

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-N2, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-N2),,
Add Part and Edit hidden without the Create and Edit setting,Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"A work order is open with status Estimate, Approved, In Progress, or Review.
Your 'Work Order Line - Create and Edit' setting is NOT enabled.
The work order line already has at least one part on it.",Open the work order and look at the Parts section and existing part lines.,"1. The “Add Part” button is not displayed.
2. The Edit control is not displayed on part lines.

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-N3, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-N3),,
Add Part and Edit hidden when the work order is not editable otherwise,Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"You have the 'Work Order Line - Create and Edit' setting enabled.
You can view a work order that is not editable for some other existing reason (matching today's behaviour).",Open that work order and look at the Parts section and existing part lines.,"1. The “Add Part” button and the Edit control are not displayed, matching today's behaviour for a non-editable work order.

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-N4, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-N4),,
Add Part on another line while a row is open triggers the guard,Inline Add and Edit Parts - Add Part Button and Edit Control,Functional,Medium,"A work order is open with status Estimate, Approved, In Progress, or Review.
You have the 'Work Order Line - Create and Edit' setting enabled.
An inline row is already open somewhere on the work order and contains entered data.",Select “Add Part” on a different work order line.,"1. The unsaved-data confirmation from S6-R5 is shown before the requested row opens.

---
This is the expected behaviour as per epic SV-9315 and story SV-9316 (Story 1, Add Part Button on Work Order Lines) and the Inline Add and Edit Parts on Work Order Lines specification version 13, section S1-E2, read on 25 August 2026.

AUTOMATION: Not available on Build to test Yet - Last checked 8/25/2026",SV-9316 (S1-E2),,
