ID,sf_id,title,section
29350,SF-BULK-01,Verify the Bulk Receive page has a 'Back to Purchase Orders' link that returns to the PO list,PO Bulk Receive Page (Story 8)
29351,SF-BULK-02,Verify the Bulk Receive page groups POs by vendor with a vendor count and per-vendor expand/collapse,PO Bulk Receive Page (Story 8)
29352,SF-BULK-03,"Verify each PO row shows the PO number, related work order (or inventory/no-WO indicator) and parts count",PO Bulk Receive Page (Story 8)
29353,SF-BULK-04,Verify selection behavior: nothing selected by default; selecting a PO selects all its parts; individual parts selectable; actions locked until checked,PO Bulk Receive Page (Story 8)
29354,SF-BULK-05,Verify the per-PO 'Receive parts (N)' button is disabled until a vendor invoice number is entered,PO Bulk Receive Page (Story 8)
29355,SF-BULK-06,Verify field editability and locking on Bulk Receive (qty and cost editable; sell locks after WO invoiced/paid),PO Bulk Receive Page (Story 8)
29356,SF-BULK-07,Verify assigning a vendor to a Vendor Missing PO moves it into that vendor's group and entering the missing PN enables receiving,PO Bulk Receive Page (Story 8)
29357,SF-BULK-08,Verify Receive all receives everything selected at once and supports partial receive,PO Bulk Receive Page (Story 8)
29358,SF-BULK-09,Verify Bulk Receive uses the same pipeline as single-PO receive (Delivery → Vendor Bill → QuickBooks),PO Bulk Receive Page (Story 8)
29359,SF-BULK-10,"Verify a cored part's Ok/Not OK resolution becomes available once received, and core-only partial receive is supported",PO Bulk Receive Page (Story 8)
29290,SF-COMP-01,Verify a Complete Work Order button appears next to New Line on the work order,Completion — No-PO / Skip (Story 2)
29291,SF-COMP-02,Verify a work order with no parts completes in one confirm and reaches the Success screen,Completion — No-PO / Skip (Story 2)
29292,SF-COMP-03,Verify the Success screen shows the work order number and total with Done and Go to Invoice actions,Completion — No-PO / Skip (Story 2)
29293,SF-COMP-04,Verify Go to Invoice from the Success screen opens the Finance step where the invoice number is shown,Completion — No-PO / Skip (Story 2)
29294,SF-COMP-05,Verify completion is blocked when a required vehicle field is missing,Completion — No-PO / Skip (Story 2)
29295,SF-COMP-06,"Verify with Create POs OFF a work order with vendor parts completes with no PO, no vendor bill and no AP sync",Completion — No-PO / Skip (Story 2)
29296,SF-COMP-07,Verify in-stock inventory parts decrement inventory and write Part History on simple completion,Completion — No-PO / Skip (Story 2)
29297,SF-COMP-08,Verify with Auto-pick Inventory OFF the completion modal requires picking parts before Complete,Completion — No-PO / Skip (Story 2)
29298,SF-COMP-09,Verify adding a new line to a completed work order returns it to Approved,Completion — No-PO / Skip (Story 2)
29299,SF-COMP-10,Verify individual-line Complete and per-part receive actions still work alongside Simple completion,Completion — No-PO / Skip (Story 2)
