Test ID,Test Case Title,Feature / Area,Priority,Preconditions,Steps to Reproduce (Manual),Expected Result,Actual Result (Observed),Status Rationale,Severity/Status,References (Jira),Spec / Requirement Reference
DI-003,Administrator - C. Add multiple inspection templates to one line,Digital Inspections > Administrator,Medium,Logged in as Administrator. A work order line exists.,"As Admin, create/configure a custom role matching the 'Administrator' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Add an inspection template to a line.
3. Add a second and third template to the same line.
4. Attempt to add a fourth.","Step 2: First inspection added (""Inspection added to line."").
Step 3: Second and third inspections added to the same line.
Step 4: VIU - spec does not state a maximum; build observed up to 3 per line. Confirm whether a 4th is prevented.","NOT EXECUTED. Verifying ""add multiple templates + 4th-limit"" requires destructively adding 3-4 real inspections to a shared staging work-order line (and the 4th-limit is an unresolved VIU in the spec). Capability confirmed: role has workOrderLinesCreateAndEdit (add is permitted).",Blocked — destructive action not run on shared staging: BLOCKED reason: destructive mutation of shared staging data + spec VIU (max-per-line unspecified). Add-capability confirmed via permission. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Administrator role
DI-005,Administrator - E. Complete an inspection (Submit and Generate Report),Digital Inspections > Administrator,Medium,Logged in as Administrator. An inspection is in progress with required fields fillable.,"As Admin, create/configure a custom role matching the 'Administrator' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Open an in-progress inspection.
3. Fill all required fields.
4. Click Submit and Generate Report.","Step 3: With no required field outstanding, the Submit and Generate Report button is visible and clickable.
Step 4: The inspection is submitted, a report is generated, and status becomes ""Completed"".","NOT EXECUTED. Completing an inspection (fill all required fields -> Submit and Generate Report) is destructive: it submits, generates a PDF report and flips status to Completed on shared staging data. Capability confirmed: role has workOrderLinesCreateAndEdit.",Blocked — destructive action not run on shared staging: BLOCKED reason: destructive (generates real PDF report / status change on shared staging). Submit-capability confirmed via permission. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Administrator role
DI-006,Administrator - F. Inspection at 100 percent but not submitted shows Open,Digital Inspections > Administrator,Medium,Logged in as Administrator. An inspection can be filled to 100 percent without submitting.,"As Admin, create/configure a custom role matching the 'Administrator' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Fill all inspection items to 100 percent but do NOT click Submit and Generate Report.
3. Observe the inspection status on the line.","Step 2: All items show filled (100 percent).
Step 3: The inspection still shows ""Open"" (not ""Completed"") because Submit and Generate Report has not been clicked.","NOT EXECUTED. Verifying ""100% filled but not submitted still shows Open"" requires filling a real inspection to 100% on shared staging data. Capability confirmed: role has workOrderLinesCreateAndEdit.",Blocked — destructive action not run on shared staging: BLOCKED reason: requires destructive fill of a real inspection to 100% on shared staging. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Administrator role
DI-014,Service Manager - C. Add multiple inspection templates to one line,Digital Inspections > Service Manager,Medium,"Logged in as Service Manager. Settings ON but Service sub-setting OFF, so cannot configure templates. A work order line exists.","As Admin, create/configure a custom role matching the 'Service Manager' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Add an inspection template to a line.
3. Add a second and third template to the same line.
4. Attempt to add a fourth.","Step 2: First inspection added (""Inspection added to line."").
Step 3: Second and third inspections added to the same line.
Step 4: VIU - spec does not state a maximum; build observed up to 3 per line. Confirm whether a 4th is prevented.","NOT EXECUTED. Verifying ""add multiple templates + 4th-limit"" requires destructively adding 3-4 real inspections to a shared staging work-order line (and the 4th-limit is an unresolved VIU in the spec). Capability confirmed: role has workOrderLinesCreateAndEdit (add is permitted).",Blocked — destructive action not run on shared staging: BLOCKED reason: destructive mutation of shared staging data + spec VIU (max-per-line unspecified). Add-capability confirmed via permission. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Service Manager role
DI-016,Service Manager - E. Complete an inspection (Submit and Generate Report),Digital Inspections > Service Manager,Medium,"Logged in as Service Manager. Settings ON but Service sub-setting OFF, so cannot configure templates. An inspection is in progress with required fields fillable.","As Admin, create/configure a custom role matching the 'Service Manager' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Open an in-progress inspection.
3. Fill all required fields.
4. Click Submit and Generate Report.","Step 3: With no required field outstanding, the Submit and Generate Report button is visible and clickable.
Step 4: The inspection is submitted, a report is generated, and status becomes ""Completed"".","NOT EXECUTED. Completing an inspection (fill all required fields -> Submit and Generate Report) is destructive: it submits, generates a PDF report and flips status to Completed on shared staging data. Capability confirmed: role has workOrderLinesCreateAndEdit.",Blocked — destructive action not run on shared staging: BLOCKED reason: destructive (generates real PDF report / status change on shared staging). Submit-capability confirmed via permission. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Service Manager role
DI-017,Service Manager - F. Inspection at 100 percent but not submitted shows Open,Digital Inspections > Service Manager,Medium,"Logged in as Service Manager. Settings ON but Service sub-setting OFF, so cannot configure templates. An inspection can be filled to 100 percent without submitting.","As Admin, create/configure a custom role matching the 'Service Manager' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Fill all inspection items to 100 percent but do NOT click Submit and Generate Report.
3. Observe the inspection status on the line.","Step 2: All items show filled (100 percent).
Step 3: The inspection still shows ""Open"" (not ""Completed"") because Submit and Generate Report has not been clicked.","NOT EXECUTED. Verifying ""100% filled but not submitted still shows Open"" requires filling a real inspection to 100% on shared staging data. Capability confirmed: role has workOrderLinesCreateAndEdit.",Blocked — destructive action not run on shared staging: BLOCKED reason: requires destructive fill of a real inspection to 100% on shared staging. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Service Manager role
DI-025,Senior Service Advisor - C. Add multiple inspection templates to one line,Digital Inspections > Senior Service Advisor,Medium,Logged in as Senior Service Advisor. A work order line exists.,"As Admin, create/configure a custom role matching the 'Senior Service Advisor' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Add an inspection template to a line.
3. Add a second and third template to the same line.
4. Attempt to add a fourth.","Step 2: First inspection added (""Inspection added to line."").
Step 3: Second and third inspections added to the same line.
Step 4: VIU - spec does not state a maximum; build observed up to 3 per line. Confirm whether a 4th is prevented.","NOT EXECUTED. Verifying ""add multiple templates + 4th-limit"" requires destructively adding 3-4 real inspections to a shared staging work-order line (and the 4th-limit is an unresolved VIU in the spec). Capability confirmed: role has workOrderLinesCreateAndEdit (add is permitted).",Blocked — destructive action not run on shared staging: BLOCKED reason: destructive mutation of shared staging data + spec VIU (max-per-line unspecified). Add-capability confirmed via permission. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Senior Service Advisor role
DI-027,Senior Service Advisor - E. Complete an inspection (Submit and Generate Report),Digital Inspections > Senior Service Advisor,Medium,Logged in as Senior Service Advisor. An inspection is in progress with required fields fillable.,"As Admin, create/configure a custom role matching the 'Senior Service Advisor' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Open an in-progress inspection.
3. Fill all required fields.
4. Click Submit and Generate Report.","Step 3: With no required field outstanding, the Submit and Generate Report button is visible and clickable.
Step 4: The inspection is submitted, a report is generated, and status becomes ""Completed"".","NOT EXECUTED. Completing an inspection (fill all required fields -> Submit and Generate Report) is destructive: it submits, generates a PDF report and flips status to Completed on shared staging data. Capability confirmed: role has workOrderLinesCreateAndEdit.",Blocked — destructive action not run on shared staging: BLOCKED reason: destructive (generates real PDF report / status change on shared staging). Submit-capability confirmed via permission. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Senior Service Advisor role
DI-028,Senior Service Advisor - F. Inspection at 100 percent but not submitted shows Open,Digital Inspections > Senior Service Advisor,Medium,Logged in as Senior Service Advisor. An inspection can be filled to 100 percent without submitting.,"As Admin, create/configure a custom role matching the 'Senior Service Advisor' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Fill all inspection items to 100 percent but do NOT click Submit and Generate Report.
3. Observe the inspection status on the line.","Step 2: All items show filled (100 percent).
Step 3: The inspection still shows ""Open"" (not ""Completed"") because Submit and Generate Report has not been clicked.","NOT EXECUTED. Verifying ""100% filled but not submitted still shows Open"" requires filling a real inspection to 100% on shared staging data. Capability confirmed: role has workOrderLinesCreateAndEdit.",Blocked — destructive action not run on shared staging: BLOCKED reason: requires destructive fill of a real inspection to 100% on shared staging. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Senior Service Advisor role
DI-036,Service Advisor - C. Add multiple inspection templates to one line,Digital Inspections > Service Advisor,Medium,Logged in as Service Advisor. A work order line exists.,"As Admin, create/configure a custom role matching the 'Service Advisor' profile; assign it to a test user; log out and log back in as that user (fresh login so permissions load); then:
1. Log in.
2. Add an inspection template to a line.
3. Add a second and third template to the same line.
4. Attempt to add a fourth.","Step 2: First inspection added (""Inspection added to line."").
Step 3: Second and third inspections added to the same line.
Step 4: VIU - spec does not state a maximum; build observed up to 3 per line. Confirm whether a 4th is prevented.","NOT EXECUTED. Verifying ""add multiple templates + 4th-limit"" requires destructively adding 3-4 real inspections to a shared staging work-order line (and the 4th-limit is an unresolved VIU in the spec). Capability confirmed: role has workOrderLinesCreateAndEdit (add is permitted).",Blocked — destructive action not run on shared staging: BLOCKED reason: destructive mutation of shared staging data + spec VIU (max-per-line unspecified). Add-capability confirmed via permission. Basis: effective fe-permissions verified live via Tech quick-login (match=true vs intended); DI access is governed by these existing permissions (no dedicated DI/checklist permission exists in this org). Feature presence confirmed via /api/inspection-templates.,Medium · Blocked,SV-7509,SV-7509 · Digital Inspections — Service Advisor role
