Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,,
"Technician Utilization sits under Performance, below existing report links",TU — Access & Display,Functional,Critical,1. You are signed in as a user whose role has the ordinary reports access.,"1. Open the reports navigation.
2. Look under the Performance group.
3. Click the entry labeled Technician Utilization.
4. Note where the entry sits relative to the report links that existed before this release.","1. The report is listed under the Performance group, labeled ""Technician Utilization"".
2. Clicking it opens the report.
3. The entry sits BELOW the pre-existing report links — Sales, Technician Efficiency, Advisor Analysis, Shop Efficiency — the new reports are added below those items without moving or disturbing them.
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S1-R1).",SV-8648 (TU spec S1-R1 — below the named anchor items [Sales; Technician Efficiency; Advisor Analysis; Shop Efficiency] per the PRD video 2026-07-30; access = the one ordinary reports permission per QA lead 2026-08-03),,
One row per technician who clocked time in the range at those locations,TU — Access & Display,Functional,Critical,"1. Technician A clocked time (work-order and/or internal) in the selected date range at the selected location.
2. Technician B clocked NO time in that range.","1. Open the Technician Utilization report for that range and location.
2. Look for rows for technicians A and B.","1. Technician A has exactly ONE row.
2. Technician B has NO row - only technicians with clocked time in the selected range at the selected location(s) appear.
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S1-R2).",SV-8648 (TU spec v5 2026-07-29 S1-R2),,
First visit defaults to the This Month preset and the user's active location,TU — Access & Display,Functional,High,1. You are using a browser with NO saved settings for this report (fresh profile or cleared site storage).,"1. Open the Technician Utilization report.
2. Read the date-range picker value and the location filter value.","1. The date range defaults to the current calendar month (the date picker's ""This Month"" preset).
2. Because a range never extends past now, the current-month default effectively shows the month to date.
3. The location filter defaults to the user's currently active location (the one in the application's global location switcher).
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S1-R3, S1-R6, S9-R2).",SV-8648 (TU spec v5 2026-07-29 S1-R3; S1-R6; S9-R2),,
Changing the date range reloads the rows; a Custom range is capped at 366 days,TU — Access & Display,Functional,High,1. You are on the Technician Utilization report with rows loaded.,"1. Change the date range with the report's date-range picker (e.g. to Last Month).
2. Choose a Custom range within 366 days (start to end).
3. Try a Custom range wider than 366 days.","1. Each range change reloads the report's rows for the new range.
2. A valid Custom range applies normally.
3. A Custom span wider than 366 days (matching the largest preset) is rejected - it cannot be applied.
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S1-R4, S1-R5).",SV-8648 (TU spec v5 2026-07-29 S1-R4; S1-R5),,
The loading indicator shows on load and reload; rows swap only on data,TU — Access & Display,Functional,Medium,1. You are on the Technician Utilization report with rows loaded.,"1. Watch the data area during the initial load.
2. Change the date range and watch the data area during the reload.
3. While it loads, try interacting with a toolbar control.","1. On the initial load and on every reload (date-range or location change), the data area shows the standard reports loading indicator.
2. The existing rows are replaced only when the new data returns.
3. The toolbar remains interactive during the load.
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S1-R10).",SV-8648 (TU spec v5 2026-07-29 S1-R10),,
All clock records are day-grouped and windowed in one report-level time zone,TU — Access & Display,Functional,Medium,"1. A technician has a clock record that starts before the selected range and ends inside it.
2. A technician has a clock record that crosses midnight.
3. For the multi-zone check: locations in two different time zones are selected, with clock records at each.","1. Open the report and expand the technician with the cross-midnight record; read the two day rows.
2. Check the technician whose record straddles the range boundary.
3. With two differently-zoned locations selected, check which day each record lands on.","1. A record that crosses midnight is split by day - each day counts only its own hours; the midnight split is evaluated in the active workplace's time zone.
2. A record that starts before the range (or ends after it) counts only the part inside the range.
3. EVERY record is day-grouped and windowed in a SINGLE report-level time zone - the active workplace's - regardless of the location where it was clocked (a record's day, the current-month boundary, and the midnight split all use that one zone).
4. This matches the Timesheet Activities report's single-time-zone grouping.
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S1-R7).",SV-8648 (TU spec v5 2026-07-29 S1-R7; S1 context notes),,
Without reports access Technician Utilization is hidden,TU — Access & Display,Negative,High,1. You are signed in as a user whose role does NOT have reports access.,"1. Open the reports navigation.
2. Look for Technician Utilization under Performance.","1. The Technician Utilization report does NOT appear in the navigation.
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S1-N1); where the wording of that specification differs, the behaviour above follows a later product decision, which is the authority.","SV-8648 (TU spec S1-N1 — the gate is the one ordinary reports access per Chris Ward Q2=A + QA lead 2026-08-03 ""ONE permission FOR NOW""; the TU prerequisite still names the timesheet-reports permission — his spec edit owed)",,
Standard no-data message when no time in scope or all technicians cleared,TU — Access & Display,Negative,Medium,"1. A date range exists in which no technician clocked any time at the selected location(s), or a selectable location has no clocked time for the range.
2. For the cleared-filter check: the report can also be loaded with rows showing.","1. Select that empty date range (or the empty location) and let the report load.
2. Read the message in the data area and look for the Summary row.
3. Separately, with rows loaded, use ""Clear all"" in the Filter by Technician filter and re-read the data area and the Summary row.","1. Instead of rows, the data area shows exactly: ""Empty bays, endless possibilities. Get Going!"" (the application's standard reports no-data label).
2. The Summary row is hidden.
3. Clearing every technician shows the SAME message and hides the Summary row — this version does not use distinct copy for genuinely-no-data vs a cleared filter.
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S1-N2, S3-N1, S5-N1, S9-N2).","SV-8648 (TU spec v5 2026-07-29 S1-N2; S3-N1; S5-N1; S9-N2; §7 — §7 CLOSES the no-data string verbatim (""Empty bays"" ... ""Get Going!"") as the standard reports no-data label; so the exact string IS the requirement)",,
"Headers in fixed order; Total, WO and Internal Hours show clocked hours (2 dp)",TU — Hours & Utilization,Functional,Critical,"1. A technician with known clocked time in the range: some clocked to work orders and some to an internal, non-billable activity (e.g. shop cleanup or a staff meeting).
2. Part of the internal time was clocked at a location with NO default labor rate configured (for the completeness check).","1. Read the column headers left to right.
2. Read the technician's Total Hours, WO Hours, and Internal Hours.
3. Compare against the known clock records.
4. Check the number format on a value over 100 hours.","1. With a single location in scope the headers appear in exactly this order: Technician, Total Hours, WO Hours, Internal Hours, Utilization %, Est. Lost Labor.
2. Total Hours = all time the technician was clocked in for the range.
3. WO Hours = time clocked directly to work orders; Internal Hours = time clocked to internal, non-billable activities.
4. Internal Hours includes ALL internal time - including hours at a location with no configured labor rate.
5. Hours show two decimal places with NO thousands separator (e.g. ""107.70""), rounded from the unrounded hours using round-half-up (a tie rounds away from zero - 0.005 → 0.01).
6. When more than one location is in scope the automatic Location column also appears, leftmost before Technician — it is not in the Column Selection control and its presence is expected.
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S2-R1, S2-R2, S2-R3, S2-R4, S2-R5, S9-R9).",SV-8649; SV-8656 (TU spec v5 2026-07-29 S2-R1; S2-R2; S2-R3; S2-R4; S2-R5; §3 + Story 9 S9-R9 — header order and the hours columns; plus the automatic Location column leftmost when shown),,
Utilization % is WO hours over total hours from unrounded values,TU — Hours & Utilization,Functional,Critical,1. A technician whose unrounded WO and total hours produce a checkable percentage - ideally one landing on a rounding tie (e.g. computing to 66.65%).,"1. Compute the expected value by hand: work-order hours ÷ total clocked hours × 100, from the UNROUNDED hours.
2. Read the technician's Utilization % and compare.","1. Utilization % = work-order hours as a percentage of total clocked hours, computed from the unrounded hours (not from the already-rounded displays).
2. It shows one decimal place followed by a percent sign, rounded round-half-up (66.65% → 66.7%).
---
This is the expected behaviour as per the build tested on 8/4/2026, and as per the Technician Utilization report specification version 5 (S2-R6, S2-R7).",SV-8649 (TU spec v5 2026-07-29 S2-R6; S2-R7; §3),,
